timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,is_holiday,economic_index,market_demand_index,temperature_index
2024-01-01,US East,Compute,1252.38,1379.93,150.29,99.32,0,100.58,58.38,20.65
2024-01-01,US East,Storage,997.75,1080.45,59.86,99.97,0,100.58,58.38,20.65
2024-01-01,US West,Compute,1110.3,1328.52,133.24,99.37,0,100.58,58.38,20.65
2024-01-01,US West,Storage,799.94,898.01,48.0,99.61,0,100.58,58.38,20.65
2024-01-01,India South,Compute,842.81,961.2,101.14,99.43,0,100.58,58.38,20.65
2024-01-01,India South,Storage,616.48,691.01,36.99,99.49,0,100.58,58.38,20.65
2024-01-02,US East,Compute,1165.05,1354.88,139.81,99.24,0,100.49,61.59,19.77
2024-01-02,US East,Storage,817.52,952.46,49.05,99.33,0,100.49,61.59,19.77
2024-01-02,US West,Compute,1028.21,1208.96,123.39,99.55,0,100.49,61.59,19.77
2024-01-02,US West,Storage,810.25,888.91,48.61,99.59,0,100.49,61.59,19.77
2024-01-02,India South,Compute,920.1,1033.86,110.41,99.61,0,100.49,61.59,19.77
2024-01-02,India South,Storage,604.0,698.55,36.24,99.35,0,100.49,61.59,19.77
2024-01-03,US East,Compute,1142.93,1296.56,137.15,99.41,0,101.0,59.0,19.88
2024-01-03,US East,Storage,875.36,979.82,52.52,99.63,0,101.0,59.0,19.88
2024-01-03,US West,Compute,1127.68,1240.14,135.32,99.83,0,101.0,59.0,19.88
2024-01-03,US West,Storage,787.13,850.71,47.23,99.84,0,101.0,59.0,19.88
2024-01-03,India South,Compute,907.45,1069.85,108.89,99.78,0,101.0,59.0,19.88
2024-01-03,India South,Storage,626.9,752.8,37.61,99.69,0,101.0,59.0,19.88
2024-01-04,US East,Compute,1094.62,1294.0,131.35,99.7,0,100.03,57.7,19.81
2024-01-04,US East,Storage,831.23,1000.98,49.87,99.57,0,100.03,57.7,19.81
2024-01-04,US West,Compute,1085.95,1288.49,130.31,99.64,0,100.03,57.7,19.81
2024-01-04,US West,Storage,789.04,937.33,47.34,99.59,0,100.03,57.7,19.81
2024-01-04,India South,Compute,713.57,773.19,85.63,99.29,0,100.03,57.7,19.81
2024-01-04,India South,Storage,726.56,787.88,43.59,99.7,0,100.03,57.7,19.81
2024-01-05,US East,Compute,1182.43,1344.96,141.89,99.8,0,100.52,54.69,19.78
2024-01-05,US East,Storage,854.49,1034.07,51.27,99.84,0,100.52,54.69,19.78
2024-01-05,US West,Compute,1034.14,1208.58,124.1,99.89,0,100.52,54.69,19.78
2024-01-05,US West,Storage,795.96,959.1,47.76,99.63,0,100.52,54.69,19.78
2024-01-05,India South,Compute,901.55,1075.59,108.19,99.91,0,100.52,54.69,19.78
2024-01-05,India South,Storage,635.13,706.21,38.11,99.54,0,100.52,54.69,19.78
2024-01-06,US East,Compute,1161.31,1322.08,139.36,99.38,1,100.19,59.25,20.26
2024-01-06,US East,Storage,888.92,974.95,53.34,99.47,1,100.19,59.25,20.26
2024-01-06,US West,Compute,1054.57,1215.53,126.55,99.76,1,100.19,59.25,20.26
2024-01-06,US West,Storage,851.99,963.52,51.12,99.97,1,100.19,59.25,20.26
2024-01-06,India South,Compute,755.62,846.2,90.67,99.23,1,100.19,59.25,20.26
2024-01-06,India South,Storage,675.66,787.37,40.54,99.6,1,100.19,59.25,20.26
2024-01-07,US East,Compute,1090.88,1328.68,130.91,99.39,1,100.41,59.26,19.97
2024-01-07,US East,Storage,971.57,1081.62,58.29,99.78,1,100.41,59.26,19.97
2024-01-07,US West,Compute,1109.37,1255.24,133.12,99.7,1,100.41,59.26,19.97
2024-01-07,US West,Storage,862.96,942.91,51.78,99.86,1,100.41,59.26,19.97
2024-01-07,India South,Compute,1002.18,1127.36,120.26,99.35,1,100.41,59.26,19.97
2024-01-07,India South,Storage,683.23,802.7,40.99,99.21,1,100.41,59.26,19.97
2024-01-08,US East,Compute,1097.26,1291.18,131.67,99.51,0,100.18,55.56,20.07
2024-01-08,US East,Storage,931.42,1128.08,55.89,99.31,0,100.18,55.56,20.07
2024-01-08,US West,Compute,1017.25,1230.32,122.07,99.89,0,100.18,55.56,20.07
2024-01-08,US West,Storage,808.43,902.3,48.51,99.72,0,100.18,55.56,20.07
2024-01-08,India South,Compute,884.4,1020.73,106.13,99.39,0,100.18,55.56,20.07
2024-01-08,India South,Storage,755.68,825.98,45.34,99.91,0,100.18,55.56,20.07
2024-01-09,US East,Compute,1081.77,1278.26,129.81,99.91,0,101.03,60.22,18.76
2024-01-09,US East,Storage,918.03,1073.99,55.08,99.27,0,101.03,60.22,18.76
2024-01-09,US West,Compute,1085.04,1196.4,130.2,99.91,0,101.03,60.22,18.76
2024-01-09,US West,Storage,845.33,913.56,50.72,99.33,0,101.03,60.22,18.76
2024-01-09,India South,Compute,827.89,957.72,99.35,99.75,0,101.03,60.22,18.76
2024-01-09,India South,Storage,605.77,714.63,36.35,99.39,0,101.03,60.22,18.76
2024-01-10,US East,Compute,1218.8,1428.51,146.26,99.65,0,101.51,60.98,19.18
2024-01-10,US East,Storage,927.77,1014.16,55.67,99.49,0,101.51,60.98,19.18
2024-01-10,US West,Compute,1010.88,1229.45,121.31,99.51,0,101.51,60.98,19.18
2024-01-10,US West,Storage,778.8,938.37,46.73,99.7,0,101.51,60.98,19.18
2024-01-10,India South,Compute,871.53,1011.64,104.58,99.59,0,101.51,60.98,19.18
2024-01-10,India South,Storage,764.46,846.51,45.87,99.77,0,101.51,60.98,19.18
2024-01-11,US East,Compute,1203.84,1302.75,144.46,99.93,0,99.87,59.63,19.78
2024-01-11,US East,Storage,931.39,1131.55,55.88,99.87,0,99.87,59.63,19.78
2024-01-11,US West,Compute,1059.88,1188.36,127.19,99.5,0,99.87,59.63,19.78
2024-01-11,US West,Storage,800.96,884.04,48.06,99.64,0,99.87,59.63,19.78
2024-01-11,India South,Compute,922.13,1116.76,110.66,99.75,0,99.87,59.63,19.78
2024-01-11,India South,Storage,624.22,727.9,37.45,99.98,0,99.87,59.63,19.78
2024-01-12,US East,Compute,1182.47,1392.46,141.9,99.75,0,101.18,58.78,18.86
2024-01-12,US East,Storage,936.65,1058.72,56.2,99.43,0,101.18,58.78,18.86
2024-01-12,US West,Compute,1095.15,1315.7,131.42,99.92,0,101.18,58.78,18.86
2024-01-12,US West,Storage,858.58,988.73,51.51,99.6,0,101.18,58.78,18.86
2024-01-12,India South,Compute,905.0,1066.34,108.6,99.83,0,101.18,58.78,18.86
2024-01-12,India South,Storage,745.38,897.89,44.72,99.47,0,101.18,58.78,18.86
2024-01-13,US East,Compute,1165.91,1335.18,139.91,99.63,1,100.34,58.19,19.51
2024-01-13,US East,Storage,944.18,1023.75,56.65,99.23,1,100.34,58.19,19.51
2024-01-13,US West,Compute,967.49,1156.31,116.1,99.48,1,100.34,58.19,19.51
2024-01-13,US West,Storage,831.61,987.79,49.9,99.37,1,100.34,58.19,19.51
2024-01-13,India South,Compute,806.09,940.87,96.73,99.27,1,100.34,58.19,19.51
2024-01-13,India South,Storage,679.98,785.85,40.8,99.7,1,100.34,58.19,19.51
2024-01-14,US East,Compute,1121.29,1279.9,134.55,99.26,1,100.54,54.61,20.19
2024-01-14,US East,Storage,954.15,1033.87,57.25,99.96,1,100.54,54.61,20.19
2024-01-14,US West,Compute,1094.55,1244.78,131.35,99.34,1,100.54,54.61,20.19
2024-01-14,US West,Storage,879.7,969.34,52.78,99.4,1,100.54,54.61,20.19
2024-01-14,India South,Compute,976.68,1145.09,117.2,99.42,1,100.54,54.61,20.19
2024-01-14,India South,Storage,701.55,851.46,42.09,99.78,1,100.54,54.61,20.19
